icao_24bit_address,registration,manufacturer,model,aircraft_type,serial_number,description,operator,registered_at,registered_until,manufactured_at
008325,ZS-BEI,Piper,PA-46-500TP Malibu Meridian,P46T,4697523,L1T,,,,
008643,ZS-CJA,Piper,PA-46-500TP Malibu Meridian,P46T,4697240,L1T,,,,
00869d,ZS-CMM,Piper,PA-42 Cheyenne III,PAY3,42-8001081,L2T,,,,
008837,ZS-DCG,Piper,PA-46-500TP Malibu Meridian,P46T,4697055,L1T,,,,
009672,ZS-IMJ,Piper,PA-46-500TP Malibu Meridian,P46T,4697493,L1T,,,,
009d62,ZS-LCR,Piper,PA-46-500TP Malibu Meridian,P46T,4697414,L1T,,,,
00a702,ZS-OTL,Piper,PA-31T3 Cheyenne,PAT4,31T-8275011,L2T,,,,
00a71f,ZS-OUO,Piper,PA-46-500TP Malibu Meridian,P46T,4697116,L1T,,,,
00a720,ZS-OUP,Piper,PA-31T3 Cheyenne,PAT4,31T-8275002,L2T,,,,
00a7d9,ZS-PBS,Piper,PA-31T Cheyenne II,PAY2,31T-8120054,L2T,,,,
00a8d1,ZS-PLG,Piper,PA-46-500TP Malibu Meridian,P46T,4697199,L1T,,,,
00aa04,ZS-PXB,Piper,PA-31T Cheyenne II,PAY2,31T-7920056,L2T,,,,
00b122,ZS-SPD,Piper,PA-46-500TP Malibu Meridian,P46T,4697266,L1T,,,,
00b255,ZS-TAY,Piper,PA-46-500TP Malibu Meridian,P46T,4697304,L1T,,,,
00b611,ZS-ULS,Piper,PA-46-500TP Malibu Meridian,P46T,4697450,L1T,,,,
02008a,CN-TJL,Piper,PA-42 Cheyenne III,PAY3,42-8001034,L2T,MKH,,,
044035,9G-SAG,Piper,PA-42-1000 Cheyenne IV,PAY4,42-5527038,L2T,,,,
054030,5R-ASB,Piper,PA-42-720 Cheyenne IIIA,PAY3,42-5501017,L2T,COO,,,
07010e,6V-AIO,Piper,PA-42 Cheyenne III,PAY3,42-8001079,L2T,,,,
08400a,TT-DAO,Piper,PA-31T Cheyenne II,PAY2,31T-7820010,L2T,,,,
088009,5V-TPT,Piper,PA-31T Cheyenne II,PAY2,31T-7820013,L2T,,,,
0d82ac,YV2949,Piper,PA-31T Cheyenne I,PAY1,31T-8004002,L2T,COO,,,
10271e,RA-0217G,Piper,PA-46-350P Malibu Mirage,PA46,4636040,L1P,,2009-01-01,,1996-01-01
140719,RA-01817,Piper,PA-46-500TP Malibu Meridian,P46T,4697317,L1T,,,,
140755,RA-01877,Piper,PA-46-350P Malibu Mirage,PA46,4636577,L1P,,,,
1407a9,RA-01961,Piper,PA-46-500TP Malibu Meridian,P46T,4697439,L1T,COO,,,
14165f,RA-05727,Piper,PA-46-500TP Malibu Meridian,P46T,4697224,L1T,COO,,,
141663,RA-05731,Piper,PA-28-181 Archer III,P28A,2843701,L1P,,,,
3001b7,I-DYBY,Piper,PA-34-220T Seneca V,PA34,3449366,L2P,,,,
3002a6,I-PVLI,Piper,PA-28R-201 Arrow III,P28R,2844117,L1P,,,,
3002b9,I-CGAE,Piper,PA-28-181 Archer III,P28A,2843642,L1P,,,,
3002c0,I-BGFE,Piper,PA-31-350 Chieftain,PA31,31-7652043,L2P,,,,
3002da,I-ROVE,Piper,PA-34-220T Seneca V,PA34,3449234,L2P,,,,
3002e8,I-SSKK,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-7931304,L1P,,,,
3002e9,I-EEGR,Piper,PA-28RT-201T Turbo Arrow IV,P28U,2831037,L1P,,,,
30031e,I-MAXX,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8031145,L1P,,,,
300320,I-ANLA,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8331049,L1P,,,,
300331,I-BASK,Piper,PA-28R-201 Arrow III,P28R,2844138,L1P,,,,
300335,I-APCE,Piper,PA-28-161 Cadet,P28A,2841045,L1P,,,,
300340,I-AESC,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-7931095,L1P,,,,
300366,I-EAAA,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8331026,L1P,,,,
300428,I-THRS,Piper,PA-28-180 Cherokee D,P28A,28-5399,L1P,,,,
300431,I-ARPI,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-7931273,L1P,,,,
30043b,I-CGAT,Piper,PA-31T Cheyenne,PAY1,31T-7520033,L2T,,,,
3004ba,I-CNTY,Piper,PA-34-200T Seneca II,PA34,34-7970225,L2P,,,,
3004c0,I-GSGS,Piper,PA-32R-301T Saratoga II TC,P32R,3257052,L1P,,,,
3004c1,I-LIMB,Piper,PA-28-236 Dakota,P28B,2811035,L1P,,,,
3004d6,I-GITA,Piper,PA-28R-201 Arrow III,P28R,2844011,L1P,,,,
3004df,I-ECPM,Piper,PA-46-500TP Malibu Meridian,P46T,4697108,L1T,,,,
3004ec,I-EEMX,Piper,PA-25-235 Pawnee B,PA25,25-3125,L1P,,,,
3004f8,I-BJOE,Piper,PA-28-161 Warrior II,P28A,28-7916468,L1P,,,,
3004fc,I-JALU,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8531003,L1P,,,,
300516,I-MADS,Piper,PA-28R-201T Turbo Arrow III,P28S,28R-7703166,L1P,,,,
300525,I-TITT,Piper,PA-34-200 Seneca,PA34,34-7250351,L2P,,,,
300569,I-SPAX,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-7931017,L1P,,,,
30056a,I-MATG,Piper,PA-28-181 Archer III,P28A,2843615,L1P,,,,
30059b,I-ICES,Piper,PA-28-140 Cherokee D,P28A,28-7125233,L1P,,,,
3005a0,I-BEAR,Piper,PA-28RT-201 Arrow IV,P28T,28R-7918129,L1P,,,,
3005a7,I-FOGS,Piper,PA-28-140 Cherokee D,P28A,28-7125079,L1P,,,,
3005bd,I-PALS,Piper,PA-31T Cheyenne,PAY1,31T-7620005,L2T,,,,
3005cd,I-MITI,Piper,PA-23-250 Aztec E,PA27,27-7304943,L2P,,,,
3005e4,I-MODU,Piper,PA-28-181 Archer II,P28A,28-8190188,L1P,,,,
3005fc,I-EAPY,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8431024,L1P,,,,
30062a,I-LUAN,Piper,PA-31-325 Navajo C/R,PA31,31-7512027,L2P,,,,
300634,I-BGMT,Piper,PA-18-150 Super Cub,PA18,18-7545,L1P,,,,
300653,I-FAGE,Piper,PA-28R-200 Arrow II,P28R,28R-7435149,L1P,,,,
300663,I-RFSZ,Piper,PA-28-181 Archer II,P28A,28-7690069,L1P,,,,
300668,I-GGMS,Piper,PA-34-220T Seneca V,PA34,3449016,L2P,,,,
300669,I-ACVM,Piper,PA-32R-301T Saratoga II TC,P32R,3257036,L1P,,,,
300689,I-NEKI,Piper,PA-32-301 Saratoga,PA32,32-8106009,L1P,,,,
300692,I-CNTB,Piper,PA-28R-201 Arrow III,P28R,2844045,L1P,,,,
30069e,I-ZACM,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8631005,L1P,,,,
3006a1,I-TOPA,Piper,PA-28-181 Archer II,P28A,28-8390027,L1P,,,,
3006c2,I-KILE,Piper,PA-28R-201 Arrow III,P28R,2837050,L1P,,,,
3006cc,I-AZRO,Piper,PA-28RT-201T Turbo Arrow IV,P28U,28R-8031025,L1P,,,,
3006d6,I-CHEK,Piper,PA-28R-201 Arrow III,P28R,2844017,L1P,,,,
342245,EC-JFU,Piper,PA-34-220T Seneca IV,PA34,3448032,L2P,,,,
342304,EC-HRJ,Piper,PA-60-602P Sequoia,AEST,62P-0897-8165027,L2P,,,,
342549,EC-FCY,Piper,PA-28R-201T Turbo Arrow III,P28S,28R-7803166,L1P,,,,
342589,EC-IVZ,Piper,PA-46-500TP Malibu Meridian,P46T,4697170,L1T,GVN,,,
343097,EC-JVX,Piper,PA-31-310 Navajo,PA31,31-188,L2P,,,,
3431d5,EC-DEP,Piper,PA-28-161 Warrior II,P28A,28-7816661,L1P,,,,
34328e,EC-JAG,Piper,PA-61 Aerostar,AEST,61-0307-109,L2P,,,,
3432c7,EC-GLJ,Piper,PA-23-250 Aztec E,PA27,27-4812,L2P,,,,
3432c8,EC-GGF,Piper,PA-23-250 Aztec E,PA27,27-4810,L2P,,,,
343414,EC-JQO,Piper,PA-28-181 Archer III,P28A,2843593,L1P,,,,
343506,EC-HUY,Piper,PA-34-200T Seneca II,PA34,34-7570013,L2P,,,,
344142,EC-IDL,Piper,PA-28R-200 Arrow,P28R,28R-7135075,L1P,,,,
344148,EC-CSQ,Piper,PA-28R-200 Arrow II,P28R,28R-7535058,L1P,,,,
344342,EC-LMI,Piper,PA-23-250 Aztec F,PA27,27-7854068,L2P,,,,
344683,EC-DGJ,Piper,PA-28-181 Archer II,P28A,28-7990034,L1P,,,,
34504e,EC-KNV,Piper,PA-46-350P Malibu Mirage,PA46,4622143,L1P,,,,
345294,EC-MKG,Piper,PA-44-180 Seminole,PA44,44-7995072,L2P,,,,
34555a,EC-IMM,Piper,PA-28RT-201 Arrow IV,P28T,28R-7918242,L1P,,,,
38030f,F-BAYP,Piper,PA-18-150 Super Cub,PA18,18-5486,L1P,,,,
38050a,F-BBIK,Piper,J-3C-65 Cub,J3,11173,L1P,,,,
380619,F-BBQZ,Piper,J-3C-65 Cub,J3,12625,L1P,,,,
380663,F-BBTD,Piper,J-3C-65 Cub,J3,13148,L1P,,,,
38080f,F-BCAP,Piper,PA-18-135 Super Cub,PA18,18-2890,L1P,,,,
38082d,F-BCBN,Piper,PA-25-235 Pawnee B,PA25,25-3744,L1P,,,,
380877,F-BCDX,Piper,J-3C-65 Cub,J3,10528,L1P,,,,
3809e5,F-BCPF,Piper,J-3C-65 Cub,J3,13251,L1P,,,,
3809ea,F-BCPK,Piper,J-3C-65 Cub,J3,13147,L1P,,,,
3809ed,F-BCPN,Piper,J-3C-65 Cub,J3,11801,L1P,,,,
3809f9,F-BCPZ,Piper,PA-12 Super Cruiser,PA12,12-3485,L1P,,,,
380e68,F-BDTI,Piper,J-3C-65 Cub,J3,13181,L1P,,,,
380e72,F-BDTS,Piper,J-3C-65 Cub,J3,12526,L1P,,,,
380e73,F-BDTT,Piper,J-3C-65 Cub,J3,12488,L1P,,,,
380e95,F-BDUV,Piper,J-3C-65 Cub,J3,11653,L1P,,,,
381014,F-BEAU,Piper,PA-20-135 Pacer,PA20,20-1057,L1P,,,,
3810c3,F-BEGD,Piper,J-3C-65 Cub,J3,9676,L1P,,,,
3810c6,F-BEGG,Piper,J-3C-65 Cub,J3,12886,L1P,,,,
3810cd,F-BEGN,Piper,PA-12 Super Cruiser,PA12,12-3472,L1P,,,,
3810d4,F-BEGU,Piper,J-3C-65 Cub,J3,10384,L1P,,,,
381139,F-BEJZ,Piper,J-3C-65 Cub,J3,11457,L1P,,,,
381159,F-BEKZ,Piper,J-3C-65 Cub,J3,11889,L1P,,,,
381263,F-BETD,Piper,PA-12 Super Cruiser,PA12,12-3557,L1P,,,,
38126a,F-BETK,Piper,J-3C-65 Cub,J3,13241,L1P,,,,
381271,F-BETR,Piper,J-3C-65 Cub,J3,12164,L1P,,,,
381277,F-BETX,Piper,J-3C-65 Cub,J3,12763,L1P,,,,
381278,F-BETY,Piper,J-3C-65 Cub,J3,13177,L1P,,,,
38140c,F-BFAM,Piper,PA-24-250 Comanche,PA24,24-2802,L1P,,,,
38142e,F-BFBO,Piper,J-3C-65 Cub,J3,13153,L1P,,,,
38142f,F-BFBP,Piper,J-3C-65 Cub,J3,13195,L1P,,,,
381430,F-BFBQ,Piper,J-3C-65 Cub,J3,12443,L1P,,,,
381492,F-BFES,Piper,PA-18-150 Super Cub,PA18,18-3293,L1P,,,,
3814a9,F-BFFJ,Piper,J-3C-65 Cub,J3,12679,L1P,,,,
3814af,F-BFFP,Piper,PA-11 Cub Special,PA11,11-867,L1P,,,,
3814b5,F-BFFV,Piper,PA-11 Cub Special,PA11,11-940,L1P,,,,
3814e7,F-BFHH,Piper,PA-18-95 Super Cub,PA18,18-1537,L1P,,,,
381580,F-BFMA,Piper,PA-11 Cub Special,PA11,11-946,L1P,,,,
381584,F-BFME,Piper,PA-11 Cub Special,PA11,11-943,L1P,,,,
381586,F-BFMG,Piper,PA-11 Cub Special,PA11,11-945,L1P,,,,
38158b,F-BFML,Piper,J-3C-65 Cub,J3,12229,L1P,,,,
381590,F-BFMQ,Piper,J-3C-65 Cub,J3,12527,L1P,,,,
3815d9,F-BFOZ,Piper,J-3C-65 Cub,J3,12696,L1P,,,,
381603,F-BFQD,Piper,J-3C-65 Cub,J3,13028,L1P,,,,
381606,F-BFQG,Piper,J-3C-65 Cub,J3,13289,L1P,,,,
38160b,F-BFQL,Piper,J-3C-65 Cub,J3,12788,L1P,,,,
38160d,F-BFQN,Piper,J-3C-65 Cub,J3,11725,L1P,,,,
38160e,F-BFQO,Piper,PA-12 Super Cruiser,PA12,12-3492,L1P,,,,
381708,F-BFYI,Piper,J-3C-65 Cub,J3,13054,L1P,,,,
381714,F-BFYU,Piper,J-3C-65 Cub,J3,12161,L1P,,,,
381720,F-BFZA,Piper,PA-18-95 Super Cub,PA18,18-1338,L1P,,,,
3819e0,F-BGPA,Piper,J-3C-65 Cub,J3,8531,L1P,,,,
3819f3,F-BGPT,Piper,PA-18-125 Super Cub,PA18,18-1137,L1P,,,,
381a02,F-BGQC,Piper,J-3C-65 Cub,J3,9001,L1P,,,,
381a04,F-BGQE,Piper,J-3C-65 Cub,J3,11931,L1P,,,,
381a0c,F-BGQM,Piper,J-3C-65 Cub,J3,9920,L1P,,,,1942-11-24
381a18,F-BGQY,Piper,PA-12 Super Cruiser,PA12,12-1118,L1P,,,,
381a6f,F-BGTP,Piper,J-3C-65 Cub,J3,11967,L1P,,,,
381ab3,F-BGVT,Piper,PA-28-180 Cherokee B,P28A,28-1269,L1P,,,,
381ae2,F-BGXC,Piper,J-3C-65 Cub,J3,11446,L1P,,,,
381af2,F-BGXS,Piper,J-3C-65 Cub,J3,10535,L1P,,,,
381cef,F-BHHP,Piper,PA-22-135 Tri-Pacer,PA22,22-2013,L1P,,,,
381cf0,F-BHHQ,Piper,J-3C-65 Cub,J3,10272,L1P,,,,
382402,F-BJAC,Piper,PA-22-150 Tri-Pacer,PA22,22-5147,L1P,,,,
382406,F-BJAG,Piper,PA-24-250 Comanche,PA24,24-359,L1P,,,,
3824d2,F-BJGS,Piper,PA-23-235 Apache,PA23,27-516,L2P,,,,
382629,F-BJRJ,Piper,PA-18A-135 Super Cub,PA18,18-3481,L1P,,,,
38262a,F-BJRK,Piper,PA-18-135 Super Cub,PA18,18-3774,L1P,,,,
38262b,F-BJRL,Piper,PA-18-150 Super Cub,PA18,18-3008,L1P,,,,
38262c,F-BJRM,Piper,PA-23-150 Apache,PA23,23-137,L2P,,,,
382679,F-BJTZ,Piper,PA-18-150 Super Cub,PA18,18-7680,L1P,,,,
38268a,F-BJUK,Piper,PA-18-150 Super Cub,PA18,18-7549,L1P,,,,
382824,F-BKBE,Piper,PA-18-150 Super Cub,PA18,18-7658,L1P,,,,
382829,F-BKBJ,Piper,PA-22-160 Tri-Pacer,PA22,22-6494,L1P,,,,
3829ae,F-BKNO,Piper,J-3C-65 Cub,J3,12784,L1P,,,,
382a2b,F-BKRL,Piper,PA-23-250 Aztec B,PA27,27-2082,L2P,,,,
382a34,F-BKRU,Piper,PA-18-95 Super Cub,PA18,18-1456,L1P,,,,
382c81,F-BLEB,Piper,PA-23-250 Aztec B,PA27,27-2434,L2P,,,,
382cd8,F-BLGY,Piper,PA-24-250 Comanche,PA24,24-3076,L1P,,,,
382ce9,F-BLHJ,Piper,PA-24-250 Comanche,PA24,24-3507,L1P,,,,
382cef,F-BLHP,Piper,PA-18-150 Super Cub,PA18,18-5355,L1P,,,,
382d69,F-BLLJ,Piper,PA-23-250 Aztec C,PA27,27-3756,L2P,,,,
382dc3,F-BLOD,Piper,PA-22-150 Tri-Pacer,PA22,22-7482,L1P,,,,
383054,F-BMCU,Piper,PA-18-95 Super Cub,PA18,18-1429,L1P,,,,
3830ec,F-BMHM,Piper,J-3C-65 Cub,J3,11907,L1P,,,,
38312d,F-BMJN,Piper,PA-18-95 Super Cub,PA18,18-1419,L1P,,,,
383131,F-BMJR,Piper,PA-28-140 Cherokee,P28A,28-20191,L1P,,,,
383135,F-BMJV,Piper,PA-18-95 Super Cub,PA18,18-1356,L1P,,,,
38314f,F-BMKP,Piper,PA-28R-180 Arrow,P28R,28R-30086,L1P,,,,
383173,F-BMLT,Piper,PA-24-250 Comanche,PA24,24-3573,L1P,,,,
383222,F-BMRC,Piper,PA-28-235 Cherokee,P28B,28-10272,L1P,,,,
383258,F-BMSY,Piper,PA-24-260 Comanche,PA24,24-4050,L1P,,,,
383259,F-BMSZ,Piper,PA-18-150 Super Cub,PA18,18-8156,L1P,,,,
383401,F-BNAB,Piper,PA-24-260 Comanche,PA24,24-4156,L1P,,,,
383405,F-BNAF,Piper,PA-30-160 Twin Comanche,PA30,30-17,L2P,,,,
38346a,F-BNDK,Piper,PA-23-250 Aztec C,PA27,27-2598,L2P,,,,
383478,F-BNDY,Piper,L-18C Super Cub,PA18,18-1458,L1P,,,,
3834b0,F-BNFQ,Piper,PA-28-140 Cherokee,P28A,28-20635,L1P,,,,
3834b2,F-BNFS,Piper,PA-32-260 Cherokee Six,PA32,32-191,L1P,,,,
3834b7,F-BNFX,Piper,PA-28-180 Cherokee C,P28A,28-2489,L1P,,,,
383552,F-BNKS,Piper,PA-28-140 Cherokee,P28A,28-21180,L1P,,,,
38356a,F-BNLK,Piper,L-18C Super Cub,PA18,18-1495,L1P,,,,
383571,F-BNLR,Piper,PA-18-95 Super Cub,PA18,18-2076,L1P,,,,
38358f,F-BNMP,Piper,PA-18-150 Super Cub,PA18,18-1022,L1P,,,,
383591,F-BNMR,Piper,PA-18-95 Super Cub,PA18,18-1388,L1P,,,,
3835e8,F-BNPI,Piper,PA-18-150 Super Cub,PA18,18-5396,L1P,,,,
383610,F-BNQQ,Piper,PA-18-95 Super Cub,PA18,18-1601,L1P,,,,
383805,F-BOAF,Piper,PA-28-180 Cherokee B,P28A,28-1130,L1P,,,,
38380e,F-BOAO,Piper,PA-28R-180 Arrow,P28R,28R-30374,L1P,,,,
383888,F-BOEI,Piper,PA-32-260 Cherokee Six,PA32,32-690,L1P,,,,
383891,F-BOER,Piper,PA-18-95 Super Cub,PA18,18-1442,L1P,,,,
3838b8,F-BOFY,Piper,PA-18-95 Super Cub,PA18,18-1378,L1P,,,,
3838e9,F-BOHJ,Piper,PA-18-150 Super Cub,PA18,18-5324,L1P,,,,
3838f2,F-BOHS,Piper,PA-23-250 Aztec C,PA27,27-3409,L2P,,,,
3838f5,F-BOHV,Piper,PA-23-250 Aztec C,PA27,27-3442,L2P,,,,
383937,F-BOJX,Piper,PA-30-160 Twin Comanche B,PA30,30-1318,L2P,,,,
383962,F-BOLC,Piper,PA-23-250 Aztec C,PA27,27-3382,L2P,,,,
383963,F-BOLD,Piper,PA-28-140 Cherokee,P28A,28-22737,L1P,,,,
383974,F-BOLU,Piper,PA-30-160 Twin Comanche B,PA30,30-1438,L2P,,,,
383979,F-BOLZ,Piper,PA-30-160 Twin Comanche B,PA30,30-1233,L2P,,,,
383981,F-BOMB,Piper,PA-18-95 Super Cub,PA18,18-1640,L1P,,,,
383982,F-BOMC,Piper,PA-18-95 Super Cub,PA18,18-1636,L1P,,,,
383985,F-BOMF,Piper,PA-18-95 Super Cub,PA18,18-1435,L1P,,,,
383987,F-BOMH,Piper,PA-18-95 Super Cub,PA18,18-2097,L1P,,,,
383988,F-BOMI,Piper,PA-18-95 Super Cub,PA18,18-1359,L1P,,,,
38398a,F-BOMK,Piper,PA-18-95 Super Cub,PA18,18-1455,L1P,,,,
38398b,F-BOML,Piper,PA-18-95 Super Cub,PA18,18-1367,L1P,,,,
38398c,F-BOMM,Piper,PA-18-95 Super Cub,PA18,18-1397,L1P,,,,
38398f,F-BOMP,Piper,PA-18-95 Super Cub,PA18,18-1409,L1P,,,,
